trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999990252244151}",20,0,-63.92539828485745,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9999961008995606}",20,0,-85.15475184557411,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9999912270311376}",25,0,-110.32296299229478,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9999844036286483}",20,0,-64.07422356711349,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9999756307053947}",30,0,-258.18550794530466,"{0: 15, 1: 3, 2: 6, 3: 2, 4: 4}",0
6,False,"{'a': 0.01, 'e': 0.9999649082784806}",25,0,-60.211096546182695,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9999522363688097}",20,0,-148.29627169913454,"{0: 8, 1: 1, 2: 9, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9999376150010865}",30,0,-280.4935788099388,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 5}",0
9,False,"{'a': 0.01, 'e': 0.9999210442038161}",25,0,-76.35078649708885,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9999025240093042}",30,0,-165.3261363452247,"{0: 15, 1: 5, 2: 6, 3: 3, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9998820544536569}",20,0,-80.92032850691581,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9998596355767804}",20,0,-110.16932523494563,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9998352674223817}",25,0,-183.83685336480386,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.9998089500379678}",25,0,-217.82379562576534,"{0: 10, 1: 6, 2: 4, 3: 2, 4: 3}",0
15,False,"{'a': 0.01, 'e': 0.9997806834748455}",20,0,-68.43790708623621,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9997504677881222}",20,0,-144.34129778424182,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.9997183030367047}",25,0,-101.87350739400907,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9996841892832999}",25,5,-168.48526667702797,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",1
19,False,"{'a': 0.01, 'e': 0.9996481265944145}",20,0,-23.713951849074135,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.9996101150403544}",20,0,-98.2254385740387,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.999570154695225}",20,0,-147.65982039571296,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
22,False,"{'a': 0.01, 'e': 0.9995282456369311}",30,20,-28.775014485903867,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
23,False,"{'a': 0.01, 'e': 0.9994843879471766}",25,0,-181.81611711222786,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.9994385817114643}",30,1,-120.45849541694433,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 1}",1
25,False,"{'a': 0.01, 'e': 0.9993908270190958}",20,0,-102.98406236327948,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9993411239631712}",20,0,-141.37351693487216,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.9992894726405892}",25,0,-144.89160701505068,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9992358731520469}",20,0,-288.2956286317373,"{0: 5, 1: 3, 2: 6, 3: 1, 4: 5}",0
29,False,"{'a': 0.01, 'e': 0.999180325602039}",20,7,-32.047232551281766,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
30,False,"{'a': 0.01, 'e': 0.9991228300988584}",20,0,-122.24511392860457,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.9990633867545954}",25,0,-131.98887136501185,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.999001995685138}",20,0,-108.84929385878281,"{0: 11, 1: 0, 2: 6, 3: 3, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.9989386570101713}",20,0,-38.311338340717406,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.998873370853177}",20,8,-35.526445936852724,"{0: 7, 1: 3, 2: 1, 3: 1, 4: 0}",1
35,False,"{'a': 0.01, 'e': 0.9988061373414341}",20,0,-91.43617047469853,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.9987369566060175}",25,0,-152.21809272134357,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
37,False,"{'a': 0.01, 'e': 0.9986658287817988}",20,1,-78.21096764321776,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 1}",1
38,False,"{'a': 0.01, 'e': 0.9985927540074452}",20,0,-114.98035416845934,"{0: 7, 1: 8, 2: 4, 3: 0, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.9985177324254199}",20,0,-148.16976388093968,"{0: 6, 1: 7, 2: 4, 3: 2, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.998440764181981}",25,0,-213.87916597983315,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
41,False,"{'a': 0.01, 'e': 0.9983618494271823}",35,0,-98.2142047051644,"{0: 24, 1: 5, 2: 4, 3: 1, 4: 1}",0
