trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-113.12890788589682,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,4,-153.8525147845705,"{0: 11, 1: 4, 2: 1, 3: 3, 4: 2}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.75759336320098,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.26722057877998,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.74870937148513,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.83846475940113,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-70.19062560866114,"{0: 20, 1: 6, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.65099951010671,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.74616245743462,"{0: 14, 1: 8, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-25.78438228716295,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.1400494856849,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.117728568644,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-164.0962615852965,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.28648095623927,"{0: 14, 1: 3, 2: 2, 3: 4, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.96603621971605,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.58319363968758,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.232902113505396,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.743106281728124,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.01547714761861,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-267.3641173145019,"{0: 10, 1: 2, 2: 7, 3: 2, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,11,-67.35763579165045,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-81.55050317004583,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.73781353499855,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-85.13444637034472,"{0: 17, 1: 6, 2: 6, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.44893113068865,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-203.28281465946472,"{0: 18, 1: 4, 2: 9, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-206.50879483252658,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-212.9888922255469,"{0: 8, 1: 9, 2: 4, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-278.89838527243364,"{0: 13, 1: 6, 2: 4, 3: 3, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.02555278586175,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
